geo,year,industrial_production_i15,berd_pc_gdp,env_tax_env_mio_eur,ict_spec_pc_ent_ge10,solar_collector_ths_m2,heat_pump_cap_ath_mw,road_elec_ktoe,sdg_13_50_mio_eur
EU27_2020,1990,,,,,3641.867,0.0,,
EU27_2020,1991,78.0,,,,4051.857,0.025,,
EU27_2020,1992,76.8,,,,4629.927,0.066,,
EU27_2020,1993,73.0,,,,5144.391,0.132,,
EU27_2020,1994,76.4,,,,5683.632,0.239,,
EU27_2020,1995,79.2,,,,6268.479,0.412,,
EU27_2020,1996,79.0,,,,6938.908,0.692,,
EU27_2020,1997,82.5,,,,7655.542,1.145,,
EU27_2020,1998,85.7,,,,8519.323,1.878,,
EU27_2020,1999,87.2,,,,9244.039,3.063,,
EU27_2020,2000,91.9,,,,10758.61,6.349,,
EU27_2020,2001,92.5,,,,12024.511,11.273,,
EU27_2020,2002,92.4,,,,12921.137,25.321,,
EU27_2020,2003,93.0,,,,14326.79,860.552,,
EU27_2020,2004,95.4,,,,16370.649,2425.244,,
EU27_2020,2005,97.3,,,,17901.995,4653.468,,
EU27_2020,2006,101.6,,,,20653.847,8165.413,,
EU27_2020,2007,105.7,,,,23193.751,12543.108,,
EU27_2020,2008,103.9,,113664.32,,27201.325,17408.089,,
EU27_2020,2009,89.0,,109538.23,,30972.14,21588.284,,
EU27_2020,2010,95.4,,113234.77,,34427.66,25481.041,,
EU27_2020,2011,98.8,,121797.93,,37676.984,31608.766,,
EU27_2020,2012,96.8,,123914.45,19.91,40241.953,35528.811,,
EU27_2020,2013,96.2,,128281.76,,42971.807,39451.886,53.141,
EU27_2020,2014,97.4,,130959.11,19.27,45142.616,66975.993,61.597,10163.87
EU27_2020,2015,100.0,,134768.45,19.84,47141.608,76862.118,70.706,12333.74
EU27_2020,2016,101.8,,138293.93,19.96,49009.773,86512.576,86.439,14337.95
EU27_2020,2017,105.1,,144282.56,18.97,50338.644,229679.961,110.172,13906.81
EU27_2020,2018,106.4,,147584.24,18.92,51926.546,239767.748,143.319,14792.83
EU27_2020,2019,106.2,,171358.55,19.32,53179.12,250834.809,213.848,16205.77
EU27_2020,2020,98.5,,158345.18,19.27,56338.375,266337.435,308.163,18103.89
EU27_2020,2021,107.5,,176510.23,,57831.417,324968.138,575.115,17977.97
EU27_2020,2022,110.8,,168998.26,20.99,59317.146,372420.812,918.605,21920.86
EU27_2020,2023,108.6,,168697.53,,60086.93,405662.462,1427.502,22849.85
EU27_2020,2024,,,,20.05,4586104.948,430085.049,1942.653,24767.68
